City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dikson,73.5069,80.5464,-6.31,94,100,8.86,RU,1669900630
1,tuktoyaktuk,69.4541,-133.0374,-21.92,100,100,1.94,CA,1669900468
2,kapaa,22.0752,-159.319,23.18,90,20,3.6,US,1669900630
3,port alfred,-33.5906,26.891,21.77,82,26,2.68,ZA,1669900631
4,taltal,-25.4,-70.4833,19.53,69,0,2.33,CL,1669900631
5,bredasdorp,-34.5322,20.0403,27.28,42,80,9.01,ZA,1669900631
6,new norfolk,-42.7826,147.0587,11.72,64,33,0.27,AU,1669900538
7,aloleng,16.1307,119.7824,27.47,75,98,3.46,PH,1669900631
8,longyearbyen,78.2186,15.6401,1.91,87,75,3.6,SJ,1669900615
9,aswan,24.0934,32.907,28.03,25,0,3.87,EG,1669900632
10,arraial do cabo,-22.9661,-42.0278,25.98,88,40,10.29,BR,1669900632
11,ponta do sol,32.6667,-17.1,23.89,71,5,2.2,PT,1669900534
12,fortuna,40.5982,-124.1573,6.19,94,100,0.45,US,1669900632
13,hithadhoo,-0.6,73.0833,27.63,63,57,2.32,MV,1669900633
14,ushuaia,-54.8,-68.3,13.81,47,40,7.2,AR,1669900633
15,klaksvik,62.2266,-6.589,9.51,99,100,5.91,FO,1669900633
16,punta arenas,-53.15,-70.9167,13.06,47,40,18.52,CL,1669900622
17,bousso,10.4795,16.7117,35.18,12,100,3.84,TD,1669900634
18,calbuco,-41.768,-73.1273,13.56,71,16,2.06,CL,1669900634
19,carnarvon,-24.8667,113.6333,21.29,75,6,8.09,AU,1669900634
20,ulaangom,49.9811,92.0667,-26.56,90,21,1.6,MN,1669900635
21,bom jesus,-9.0744,-44.3586,22.98,93,100,1.98,BR,1669900635
22,airai,-8.9266,125.4092,16.11,94,100,0.72,TL,1669900578
23,georgetown,5.4112,100.3354,25.96,91,20,4.12,MY,1669900470
24,hermanus,-34.4187,19.2345,23.78,69,64,5.95,ZA,1669900636
25,padang,-0.9492,100.3543,25.03,90,100,1.61,ID,1669900636
26,rikitea,-23.1203,-134.9692,23.04,75,66,5.45,PF,1669900622
27,asau,46.4333,26.4,-1.49,71,100,1.78,RO,1669900636
28,albany,42.6001,-73.9662,0.76,52,4,1.34,US,1669900513
29,katsuura,35.1333,140.3,11.92,84,100,5.18,JP,1669900637
30,salalah,17.0151,54.0924,27.05,69,40,4.12,OM,1669900637
31,ribeira grande,38.5167,-28.7,20.22,68,40,5.14,PT,1669900637
32,tual,-5.6667,132.75,26.43,80,100,4.43,ID,1669900637
33,hobart,-42.8794,147.3294,11.92,75,75,0.0,AU,1669900400
34,busselton,-33.65,115.3333,14.05,83,0,5.02,AU,1669900449
35,mataura,-46.1927,168.8643,10.27,87,64,3.17,NZ,1669900619
36,aklavik,68.2191,-135.0107,-16.06,97,100,1.27,CA,1669900638
37,bluff,-46.6,168.3333,10.45,73,57,9.58,NZ,1669900638
38,castro,-24.7911,-50.0119,23.03,70,11,3.63,BR,1669900638
39,cabo san lucas,22.8909,-109.9124,22.51,80,0,0.0,MX,1669900639
40,rawson,-43.3002,-65.1023,22.41,31,0,7.02,AR,1669900639
41,upernavik,72.7868,-56.1549,-15.31,92,100,9.12,GL,1669900621
42,kahului,20.8947,-156.47,24.36,89,0,3.09,US,1669900639
43,kattivakkam,13.2167,80.3167,28.05,81,80,4.13,IN,1669900640
44,cidreira,-30.1811,-50.2056,22.21,94,100,7.46,BR,1669900640
45,loikaw,19.6742,97.2094,19.32,91,81,1.47,MM,1669900640
46,faanui,-16.4833,-151.75,26.32,79,64,6.07,PF,1669900641
47,polovinnoye,54.7914,65.9864,-14.01,74,100,4.59,RU,1669900641
48,panzhihua,26.5851,101.7128,15.19,67,0,0.57,CN,1669900641
49,olafsvik,64.8945,-23.7142,5.77,81,78,14.22,IS,1669900641
50,kruisfontein,-34.0033,24.7314,24.38,51,48,6.79,ZA,1669900642
51,polunochnoye,60.8697,60.4153,-22.67,100,39,0.88,RU,1669900642
52,shubarkuduk,49.1447,56.4872,-5.38,33,0,2.8,KZ,1669900642
53,leningradskiy,69.3833,178.4167,-3.14,75,100,4.31,RU,1669900538
54,pleasanton,37.6624,-121.8747,11.62,73,75,3.6,US,1669900643
55,port elizabeth,-33.918,25.5701,25.61,72,92,4.92,ZA,1669900643
56,tura,25.5198,90.2201,17.69,90,0,1.57,IN,1669900643
57,yellowknife,62.456,-114.3525,-21.61,97,100,0.91,CA,1669900452
58,balabac,7.9868,117.0645,27.29,85,100,7.11,PH,1669900644
59,cape town,-33.9258,18.4232,26.73,54,20,5.66,ZA,1669900644
60,provideniya,64.3833,-173.3,-3.28,96,65,3.59,RU,1669900645
61,buchanan,5.8808,-10.0467,29.04,66,45,3.21,LR,1669900645
62,tobane,-21.95,27.9,31.92,20,0,5.26,BW,1669900645
63,souillac,-20.5167,57.5167,27.21,65,75,3.6,MU,1669900645
64,egvekinot,66.3167,-179.1667,-3.64,98,100,4.53,RU,1669900646
65,severo-kurilsk,50.6789,156.125,-2.88,61,83,7.76,RU,1669900646
66,mogadishu,2.0371,45.3438,28.19,70,95,6.72,SO,1669900646
67,nhulunbuy,-12.2333,136.7667,28.34,78,100,2.57,AU,1669900647
68,tunduma,-9.3,32.7667,16.13,87,100,1.25,TZ,1669900647
69,kodiak,57.79,-152.4072,3.73,56,0,15.95,US,1669900424
70,barrow,71.2906,-156.7887,-6.99,86,100,2.06,US,1669900647
71,pavilosta,56.8879,21.1859,-0.05,83,100,3.67,LV,1669900648
72,muli,2.9167,73.5667,27.02,75,33,2.44,MV,1669900648
73,mindszent,46.5236,20.1904,5.66,62,92,2.96,HU,1669900648
74,nantucket,41.2835,-70.0995,4.52,59,4,15.64,US,1669900625
75,jamestown,42.097,-79.2353,-1.23,78,100,5.14,US,1669900417
76,rundu,-17.9333,19.7667,36.44,12,5,4.48,NA,1669900649
77,avarua,-21.2078,-159.775,25.03,88,75,6.17,CK,1669900649
78,wajima,37.4,136.9,5.79,83,100,4.81,JP,1669900649
79,bumba,2.1833,22.4667,25.05,79,100,1.4,CD,1669900650
80,sao joao da barra,-21.6403,-41.0511,26.05,85,100,9.14,BR,1669900650
81,kokopo,-4.352,152.2633,26.32,80,96,2.69,PG,1669900650
82,sur,22.5667,59.5289,25.81,42,63,1.62,OM,1669900651
83,cherskiy,68.75,161.3,-12.58,98,100,5.82,RU,1669900615
84,norman wells,65.282,-126.8329,-20.98,77,100,0.0,CA,1669900651
85,hilo,19.7297,-155.09,27.38,90,100,4.12,US,1669900640
86,beringovskiy,63.05,179.3167,1.19,99,100,6.56,RU,1669900651
87,mahebourg,-20.4081,57.7,27.16,65,75,3.6,MU,1669900652
88,latung,5.5,120.8833,27.95,74,100,2.68,PH,1669900652
89,bambous virieux,-20.3428,57.7575,26.23,69,21,4.33,MU,1669900450
90,thompson,55.7435,-97.8558,-26.33,94,100,1.05,CA,1669900406
91,saint-francois,46.4154,3.9054,6.69,65,100,4.12,FR,1669900652
92,clyde river,70.4692,-68.5914,-32.87,62,0,0.0,CA,1669900638
93,tasiilaq,65.6145,-37.6368,5.09,89,100,2.61,GL,1669900653
94,yaan,7.3833,8.5667,35.55,14,81,3.26,NG,1669900653
95,coihaique,-45.5752,-72.0662,11.97,43,40,5.14,CL,1669900641
96,saskylakh,71.9167,114.0833,-33.07,100,100,2.08,RU,1669900469
97,saint george,37.1041,-113.5841,0.33,59,0,0.0,US,1669900538
98,meulaboh,4.1363,96.1285,24.76,89,100,1.01,ID,1669900653
99,portland,45.5234,-122.6762,4.34,90,75,4.12,US,1669900089
100,mar del plata,-38.0023,-57.5575,16.64,98,100,7.6,AR,1669900654
101,east london,-33.0153,27.9116,25.36,74,10,4.16,ZA,1669900654
102,chumikan,54.7183,135.315,-23.51,75,7,11.49,RU,1669900654
103,lingyuan,41.24,119.4011,-9.68,32,0,1.87,CN,1669900655
104,blackwater,-23.5833,148.8833,16.95,80,1,3.98,AU,1669900655
105,bethel,41.3712,-73.414,2.53,60,22,1.79,US,1669900451
106,cap-aux-meules,47.3821,-61.8597,10.01,87,100,20.06,CA,1669900626
107,sorland,67.667,12.6934,3.92,74,14,3.35,NO,1669900655
108,chokurdakh,70.6333,147.9167,-17.72,98,100,1.81,RU,1669900656
109,nanortalik,60.1432,-45.2371,-3.11,74,4,14.46,GL,1669900656
110,vagur,61.4732,-6.8119,9.26,99,100,7.44,FO,1669900656
111,nouadhibou,20.931,-17.0347,19.75,63,81,5.87,MR,1669900656
112,santa isabel do rio negro,-0.4139,-65.0192,27.01,82,96,1.37,BR,1669900657
113,kalabo,-14.97,22.6814,34.27,19,5,4.31,ZM,1669900657
114,luderitz,-26.6481,15.1594,23.04,59,26,10.41,NA,1669900657
115,maldonado,-34.6667,-54.9167,24.66,62,97,3.15,UY,1669900406
116,butaritari,3.0707,172.7902,26.66,81,24,5.27,KI,1669900653
117,goderich,43.7501,-81.7165,1.06,74,100,8.23,CA,1669900658
118,prince rupert,54.3161,-130.3201,-4.17,55,0,5.66,CA,1669900658
119,gonbad-e qabus,37.25,55.1672,12.95,88,100,0.0,IR,1669900658
120,hay river,60.8156,-115.7999,-25.01,77,20,4.63,CA,1669900659
121,benguela,-12.5763,13.4055,27.23,73,51,4.02,AO,1669900659
122,kita,13.0349,-9.4895,35.13,13,99,1.96,ML,1669900659
123,nchelenge,-9.3451,28.734,23.78,68,100,1.91,ZM,1669900659
124,san juan,-31.5375,-68.5364,24.0,37,15,8.27,AR,1669900643
125,chuy,-33.6971,-53.4616,24.23,79,83,4.19,UY,1669900633
126,nikolskoye,59.7035,30.7861,-4.55,86,100,1.28,RU,1669900660
127,port macquarie,-31.4333,152.9167,15.5,83,99,4.6,AU,1669900660
128,kuryk,43.2,51.65,2.14,27,0,5.17,KZ,1669900660
129,surt,31.2089,16.5887,18.93,38,7,3.87,LY,1669900661
130,masyaf,35.0653,36.3406,16.12,68,30,2.12,SY,1669900661
131,yar-sale,66.8333,70.8333,-21.09,94,17,4.43,RU,1669900661
132,karratha,-20.7377,116.8463,28.59,49,0,6.85,AU,1669900647
133,soure,-0.7167,-48.5233,28.35,72,92,4.23,BR,1669900662
134,atuona,-9.8,-139.0333,25.19,78,17,6.16,PF,1669900533
135,mahanoro,-19.9,48.8,27.09,62,0,4.96,MG,1669900662
136,okhotsk,59.3833,143.3,-19.56,99,100,4.28,RU,1669900662
137,qaanaaq,77.484,-69.3632,-31.85,83,13,3.14,GL,1669900663
138,vardo,70.3705,31.1107,-1.01,80,75,2.57,NO,1669900623
139,port lincoln,-34.7333,135.8667,15.98,81,0,7.23,AU,1669900565
140,te anau,-45.4167,167.7167,6.03,82,90,0.57,NZ,1669900663
141,saint-philippe,-21.3585,55.7679,26.77,77,53,2.39,RE,1669900664
142,jurado,7.1053,-77.7641,24.87,86,91,1.22,CO,1669900568
143,san patricio,28.017,-97.5169,11.91,73,0,4.97,US,1669900664
144,kavieng,-2.5744,150.7967,27.97,73,75,2.13,PG,1669900664
145,ileza,61.0533,43.9002,-12.51,94,100,0.84,RU,1669900664
146,mayo,38.8876,-76.5119,3.47,53,0,4.12,US,1669900665
147,kavaratti,10.5669,72.642,27.7,72,59,1.57,IN,1669900665
148,svinita,44.4997,22.1061,1.8,92,100,4.02,RO,1669900665
149,partizanskoye,55.5006,94.39,-17.98,94,100,4.55,RU,1669900666
150,vila franca do campo,37.7167,-25.4333,16.78,69,31,2.64,PT,1669900637
151,sao filipe,14.8961,-24.4956,24.53,62,58,3.98,CV,1669900666
152,rohru,31.2167,77.75,10.26,35,15,1.91,IN,1669900666
153,hualmay,-11.0964,-77.6139,20.31,79,6,3.22,PE,1669900666
154,santa cruz,-17.8,-63.1667,24.7,65,75,6.17,BO,1669900503
155,samarai,-10.6167,150.6667,27.77,78,100,2.67,PG,1669900466
156,lima,-12.0432,-77.0282,18.14,82,40,3.09,PE,1669900261
157,pringsewu,-5.3582,104.9744,24.11,83,100,3.33,ID,1669900667
158,cedar city,37.6775,-113.0619,1.54,64,0,6.69,US,1669900537
159,keti bandar,24.1447,67.4497,25.61,36,0,4.53,PK,1669900667
160,natal,-5.795,-35.2094,29.36,69,75,7.2,BR,1669900578
161,ambon,-3.6954,128.1814,27.52,75,100,2.17,ID,1669900668
162,lagoa,39.05,-27.9833,17.22,83,1,7.03,PT,1669900668
163,puerto ayora,-0.7393,-90.3518,20.31,91,74,4.02,EC,1669900668
164,camocim,-2.9022,-40.8411,30.05,61,69,6.36,BR,1669900669
165,vaini,-21.2,-175.2,24.09,94,20,2.06,TO,1669900529
166,gornopravdinsk,60.05,69.9,-24.33,94,11,0.51,RU,1669900669
167,alta floresta,-9.8756,-56.0861,27.9,78,0,1.54,BR,1669900669
168,corrente,-3.7367,-43.3394,31.46,53,66,2.27,BR,1669900669
169,am timan,11.0297,20.2827,36.72,16,53,4.69,TD,1669900670
170,ponta delgada,37.7333,-25.6667,16.95,72,75,3.09,PT,1669900670
171,pecos,31.4229,-103.4932,3.46,86,0,1.54,US,1669900664
172,mount gambier,-37.8333,140.7667,9.94,94,6,2.77,AU,1669900670
